Property class type,Forecasted reduction in downtown CRE valuations,"Average property tax bill, 2021","Average property tax bill, 2024","Change in average property tax bill, 2021-24","Total property tax share, 2021","Total property tax share, 2024","Change in total property tax share, 2021-24","Assessed value share, 2021","Assessed value share, 2024","Change in assessed value share, 2021-24","Assessed value, 2021 (10% of residential, 25% of commercial)","Assessed value, 2024 (10% of residential, 25% of commercial)","Change in assessed value, 2021-24","Total property tax, 2021","Total property tax, 2024","Change in total property tax, 2021-24","Average assessed value, 2021","Average assessed value, 2024","PIN count, 2021","PIN count, 2024"
All Chicago residential,40%,5243.970929994472,5723.024979806608,479.0540498121363,0.49693441853492454,0.5484359207985002,0.051501502263575694,0.5268012503316852,0.58549996854038,0.05869871820869477,21345398031,21345398031,0,3843578981.081308,4194702604.9992127,351123623.91790485,29122.504653783602,29122.504653783602,732952,732952
Chicago commercial/industrial,40%,17568.1594846551,20481.108068456302,2912.9485838012006,0.2023911918499364,0.23860538443952947,0.036214192589593075,0.18891105576839326,0.20996043031348816,0.021049374545094895,7654464896,7654464896,0,1565410850.8801928,1824969134.4397988,259558283.55960608,85903.87628079232,85903.87628079232,89105,89105
Chicago multistory office/retail,40%,108875.48091229444,117144.55692247464,8269.0760101802,0.03595127087670029,0.0391171966372786,0.0031659257605783087,0.0336528149970273,0.037402572810236935,0.003749757813209638,1363574461,1363574461,0,278067978.25,299187198.38000023,21119220.130000234,533897.5963194988,533897.5963194988,2554,2554
Downtown commercial/industrial,40%,158420.0987967372,102951.27831180605,-55468.82048493116,0.09038731283966729,0.05940053918296412,-0.030986773656703173,0.08544994847715646,0.056982670339424675,-0.02846727813773179,3462336433,2077400247,-1384936186,699107895.9900013,454323991.1900001,-244783904.8000012,784576.5767051892,470745.5805574439,4413,4413
Downtown multistory office/retail,40%,815244.3928174126,529201.7441172921,-286042.6487001205,0.17433580589877154,0.11444095894172755,-0.05989484695704399,0.16518493042573779,0.11015435799647022,-0.055030572429267566,6693108808,4015864633,-2677244175,1348414225.7200005,875299684.7700012,-473114540.94999933,4046619.593712213,2427971.362152358,1654,1654
All Chicago residential,30%,5243.970929994472,5569.6383062748155,325.6673762803439,0.49693441853492454,0.5328016846327033,0.03586726609777874,0.5268012503316852,0.5696322001969615,0.04283094986527625,21345398031,21345398031,0,3843578981.081308,4082277535.8607383,238698554.7794304,29122.504653783602,29122.504653783602,732952,732952
Chicago commercial/industrial,30%,17568.1594846551,19974.577938613536,2406.418453958435,0.2023911918499364,0.23229654378283462,0.029905351932898228,0.18891105576839326,0.20427024474814237,0.015359188979749111,7654464896,7654464896,0,1565410850.8801928,1779834767.2201593,214423916.33996654,85903.87628079232,85903.87628079232,89105,89105
Chicago multistory office/retail,30%,108875.48091229444,113989.87530148776,5114.394389193316,0.03595127087670029,0.03799708091539828,0.0020458100386979913,0.0336528149970273,0.03638891714381524,0.00273610214678794,1363574461,1363574461,0,278067978.25,291130141.51999974,13062163.269999743,533897.5963194988,533897.5963194988,2554,2554
Downtown commercial/industrial,30%,158420.0987967372,116788.91221391401,-41631.1865828232,0.09038731283966729,0.0672664646714026,-0.023120848168264693,0.08544994847715646,0.06467809191725739,-0.020771856559899077,3462336433,2423633382,-1038703051,699107895.9900013,515389469.6000025,-183718426.3899988,784576.5767051892,549203.1230455473,4413,4413
Downtown multistory office/retail,30%,815244.3928174126,600529.7291777501,-214714.66363966255,0.17433580589877154,0.12963822599766128,-0.04469757990111026,0.16518493042573779,0.1250305459938235,-0.0401543844319143,6693108808,4685175398,-2007933410,1348414225.7200005,993276172.0599986,-355138053.6600019,4046619.593712213,2832633.251511487,1654,1654
All Chicago residential,20%,5243.970929994472,5424.35276263651,180.38183264203872,0.49693441853492454,0.5180436697429847,0.02110925120806012,0.5268012503316852,0.5546017940841578,0.02780054375247254,21345398031,21345398031,0,3843578981.081308,3975790206.0799556,132211224.99864769,29122.504653783602,29122.504653783602,732952,732952
Chicago commercial/industrial,20%,17568.1594846551,19494.792841927334,1926.6333572722324,0.2023911918499364,0.22634119828449611,0.023950006434559717,0.18891105576839326,0.19888033748119927,0.009969281712806005,7654464896,7654464896,0,1565410850.8801928,1737083516.1799352,171672665.29974246,85903.87628079232,85903.87628079232,89105,89105
Chicago multistory office/retail,20%,108875.48091229444,111002.23196945997,2126.7510571655293,0.03595127087670029,0.03693988303697776,9.886121602774717e-4,0.0336528149970273,0.03542875337061633,0.0017759383735890324,1363574461,1363574461,0,278067978.25,283499700.45000076,5431722.200000763,533897.5963194988,533897.5963194988,2554,2554
Downtown commercial/industrial,20%,158420.0987967372,129894.94960797695,-28525.14918876026,0.09038731283966729,0.07469114289107948,-0.015696169948587815,0.08544994847715646,0.07196742915314124,-0.01348251932401523,3462336433,2769867384,-692469049,699107895.9900013,573226412.6200023,-125881483.36999905,784576.5767051892,627660.86199864035,4413,4413
Downtown multistory office/retail,20%,815244.3928174126,668091.794008465,-147152.5988089476,0.17433580589877154,0.14398410604446213,-0.03035169985430941,0.16518493042573779,0.13912168591088536,-0.026063244514852424,6693108808,5354486394,-1338622414,1348414225.7200005,1105023827.2900012,-243390398.42999935,4046619.593712213,3237295.2805320434,1654,1654
All Chicago residential,10%,5243.970929994472,5286.544592234222,42.573662239750774,0.49693441853492454,0.5040901953970516,0.007155776862127039,0.5268012503316852,0.5403441967278138,0.013542946396128519,21345398031,21345398031,0,3843578981.081308,3874783431.9672575,31204450.88594961,29122.504653783602,29122.504653783602,732952,732952
Chicago commercial/industrial,10%,17568.1594846551,19039.688892539514,1471.5294078844126,0.2023911918499364,0.22071036992023313,0.018319178070296732,0.18891105576839326,0.1937675596212155,0.0048565038528222415,7654464896,7654464896,0,1565410850.8801928,1696531478.7697334,131120627.88954067,85903.87628079232,85903.87628079232,89105,89105
Chicago multistory office/retail,10%,108875.48091229444,108168.64029365694,-706.84061863750685,0.03595127087670029,0.03594041436223243,-1.0856514467860734e-5,0.0336528149970273,0.0345179577226693,8.651427256420041e-4,1363574461,1363574461,0,278067978.25,276262707.3099998,-1805270.9400001764,533897.5963194988,533897.5963194988,2554,2554
Downtown commercial/industrial,10%,158420.0987967372,142326.16157715762,-16093.937219579588,0.09038731283966729,0.081710803427027,-0.008676509412640296,0.08544994847715646,0.07888196735793034,-0.0065679811192261295,3462336433,3116100813,-346235620,699107895.9900013,628085351.0399965,-71022544.95000482,784576.5767051892,706118.4711080898,4413,4413
Downtown multistory office/retail,10%,815244.3928174126,732178.8350785957,-83065.55773881695,0.17433580589877154,0.1575482168934559,-0.01678758900531563,0.16518493042573779,0.1524883185703711,-0.01269661185536669,6693108808,6023797192,-669311616,1348414225.7200005,1211023793.2199972,-137390432.50000334,4046619.593712213,3641957.1898428053,1654,1654
